HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	MAX	MIN	{DYNPARAM} Visibility1	VOLTS	DROP	DIFF	DIST
'7202460	Fault_Currents	_Fault Currents	R14029	<>	<>	<>	566	154	Wipeout ON	<>	<>	<>	<>
'720247F	Load_Currents	_Currents	R281	B3.5			<>	<>	<>	<>	<>	<>	<>
'7202499	Fault_Currents	_Fault Currents	R281	<>	<>	<>	366	133	Wipeout ON	<>	<>	<>	<>
'72024E7	Load_Currents	_Currents	R14028	C4.0			<>	<>	<>	<>	<>	<>	<>
'7202501	Fault_Currents	_Fault Currents	R14028	<>	<>	<>	337	128	Wipeout ON	<>	<>	<>	<>
'7202520	Load_Currents	_Currents	R13632	A3.7			<>	<>	<>	<>	<>	<>	<>
'720253A	Fault_Currents	_Fault Currents	R13632	<>	<>	<>	283	121	Wipeout ON	<>	<>	<>	<>
'7202559	Load_Currents	_Currents	R18	A5.9			<>	<>	<>	<>	<>	<>	<>
'7202573	Fault_Currents	_Fault Currents	R18	<>	<>	<>	273	119	Wipeout ON	<>	<>	<>	<>
'7202592	Load_Currents	_Currents	R16	B9.1			<>	<>	<>	<>	<>	<>	<>
'72025AC	Fault_Currents	_Fault Currents	R16	<>	<>	<>	348	133	Wipeout ON	<>	<>	<>	<>
'72025CB	Load_Currents	_Currents	R13631	C5.3			<>	<>	<>	<>	<>	<>	<>
'72025E5	Fault_Currents	_Fault Currents	R13631	<>	<>	<>	409	138	Wipeout ON	<>	<>	<>	<>
'720C73B	Load_Currents	_Currents	R13630	C4.2			<>	<>	<>	<>	<>	<>	<>
'720C755	Fault_Currents	_Fault Currents	R13630	<>	<>	<>	691	163	Wipeout ON	<>	<>	<>	<>
'720C789	Load_Currents	_Currents	R14	A15.1	B13.1	C6.0	<>	<>	<>	<>	<>	<>	<>
'720C7A3	Fault_Currents	_Fault Currents	R14	<>	<>	<>	1064	169	Wipeout ON	<>	<>	<>	<>
'720C7B8	Voltage_Box	_Voltages	PC85701	<>	<>	<>	<>	<>	Wipeout On	123.0	3.0	3.0	4.6
'720C7E1	Load_Currents	_Currents	R20	A18.7	B-9.3	C14.6	<>	<>	<>	<>	<>	<>	<>
'720C7FB	Fault_Currents	_Fault Currents	R20	<>	<>	<>	1129	171	Wipeout ON	<>	<>	<>	<>
'7213C1C	Load_Currents	_Currents	R12	A7.0			<>	<>	<>	<>	<>	<>	<>
'7213C36	Fault_Currents	_Fault Currents	R12	<>	<>	<>	1242	177	Wipeout ON	<>	<>	<>	<>
'7213C67	Load_Currents	_Currents	R13629	A5.5			<>	<>	<>	<>	<>	<>	<>
'7213C81	Fault_Currents	_Fault Currents	R13629	<>	<>	<>	327	133	Wipeout ON	<>	<>	<>	<>
'7213CA0	Load_Currents	_Currents	R9582	A14.9	B1.5	C1.9	<>	<>	<>	<>	<>	<>	<>
'7213CBA	Fault_Currents	_Fault Currents	R9582	<>	<>	<>	546	144	Wipeout ON	<>	<>	<>	<>
'7213CCF	Load_Currents	_Currents	R21	A1.8	B0.3	C10.9	<>	<>	<>	<>	<>	<>	<>
'7213CE9	Fault_Currents	_Fault Currents	R21	<>	<>	<>	549	144	Wipeout ON	<>	<>	<>	<>
'7213D12	Load_Currents	_Currents	R13628	C6.6			<>	<>	<>	<>	<>	<>	<>
'7213D2C	Fault_Currents	_Fault Currents	R13628	<>	<>	<>	384	140	Wipeout ON	<>	<>	<>	<>
'7213D7F	Voltage_Box	_Voltages	PC93847	<>	<>	<>	<>	<>	Wipeout On	124.4	1.7	1.7	12.1
'7213D9E	Fault_Currents	_Fault Currents	PC93847	<>	<>	<>	251	176	Wipeout ON	<>	<>	<>	<>
'7213DB3	Voltage_Box	_Voltages	PC87432	<>	<>	<>	<>	<>	Wipeout On	121.9	7.2	7.2	13.9
'7213DD2	Fault_Currents	_Fault Currents	PC87432	<>	<>	<>	221	108	Wipeout ON	<>	<>	<>	<>
'7213DE7	Voltage_Box	_Voltages	PC85995	<>	<>	<>	<>	<>	Wipeout On	124.9	3.6	3.6	10.9
'7213E06	Fault_Currents	_Fault Currents	PC85995	<>	<>	<>	279	120	Wipeout ON	<>	<>	<>	<>
'7213E1B	Voltage_Box	_Voltages	PC15864	<>	<>	<>	<>	<>	Wipeout On	123.4	4.1	4.1	13.6
'7213E3A	Fault_Currents	_Fault Currents	PC15864	<>	<>	<>	227	110	Wipeout ON	<>	<>	<>	<>
'7213E4F	Voltage_Box	_Voltages	PC81083	<>	<>	<>	<>	<>	Wipeout On	125.6	0.4	0.4	10.0
'7213E6E	Fault_Currents	_Fault Currents	PC81083	<>	<>	<>	428	143	Wipeout ON	<>	<>	<>	<>
'7213E83	Voltage_Box	_Voltages	PC79382	<>	<>	<>	<>	<>	Wipeout On	125.1	0.9	0.9	6.7
'7213EA2	Fault_Currents	_Fault Currents	PC79382	<>	<>	<>	339	127	Wipeout ON	<>	<>	<>	<>
'7213EB7	Voltage_Box	_Voltages	PC123564	<>	<>	<>	<>	<>	Wipeout On	125.9	0.2	0.2	9.5
'7213ED6	Fault_Currents	_Fault Currents	PC123564	<>	<>	<>	862	170	Wipeout ON	<>	<>	<>	<>
'7213EEB	Voltage_Box	_Voltages	PC85636	<>	<>	<>	<>	<>	Wipeout On	121.9	4.1	4.1	13.1
'7213F0A	Fault_Currents	_Fault Currents	PC85636	<>	<>	<>	407	130	Wipeout ON	<>	<>	<>	<>
'7213F1F	Voltage_Box	_Voltages	PC85636	<>	<>	<>	<>	<>	Wipeout On	121.9	4.1	4.1	13.1
'7213F3E	Fault_Currents	_Fault Currents	PC85636	<>	<>	<>	407	130	Wipeout ON	<>	<>	<>	<>
'721B313	Voltage_Box	_Voltages	PC123640	<>	<>	<>	<>	<>	Wipeout On	124.6	1.4	1.4	1.9
'721B356	Load_Currents	_Currents	R9984	A4.2	B4.0	C18.7	<>	<>	<>	<>	<>	<>	<>
'721B375	Fault_Currents	_Fault Currents	R9984	<>	<>	<>	831	158	Wipeout ON	<>	<>	<>	<>
'721B38E	Load_Currents	_Currents	R11614	C5.5			<>	<>	<>	<>	<>	<>	<>
'721B3AD	Fault_Currents	_Fault Currents	R11614	<>	<>	<>	849	161	Wipeout ON	<>	<>	<>	<>
'721B3DA	Load_Currents	_Currents	R9996	A22.2	B36.3	C4.7	<>	<>	<>	<>	<>	<>	<>
'721B3F9	Fault_Currents	_Fault Currents	R9996	<>	<>	<>	1124	166	Wipeout ON	<>	<>	<>	<>
'721B426	Load_Currents	_Currents	R18458	B24.0			<>	<>	<>	<>	<>	<>	<>
'721B445	Fault_Currents	_Fault Currents	R18458	<>	<>	<>	740	157	Wipeout ON	<>	<>	<>	<>
'721B468	Load_Currents	_Currents	R10400	A16.8			<>	<>	<>	<>	<>	<>	<>
'721B487	Fault_Currents	_Fault Currents	R10400	<>	<>	<>	482	143	Wipeout ON	<>	<>	<>	<>
'721B4AA	Load_Currents	_Currents	R10402	A11.0	B10.7	C24.3	<>	<>	<>	<>	<>	<>	<>
'721B4C9	Fault_Currents	_Fault Currents	R10402	<>	<>	<>	718	152	Wipeout ON	<>	<>	<>	<>
'721B4EC	Load_Currents	_Currents	R10002	A41.4	B22.5	C37.3	<>	<>	<>	<>	<>	<>	<>
'721B50B	Fault_Currents	_Fault Currents	R10002	<>	<>	<>	1000	163	Wipeout ON	<>	<>	<>	<>
'721B524	Load_Currents	_Currents	R18456	C7.4			<>	<>	<>	<>	<>	<>	<>
'721B543	Fault_Currents	_Fault Currents	R18456	<>	<>	<>	871	162	Wipeout ON	<>	<>	<>	<>
'721B570	Load_Currents	_Currents	R9983	A5.3	B14.4		<>	<>	<>	<>	<>	<>	<>
'721B58F	Fault_Currents	_Fault Currents	R9983	<>	<>	<>	1539	172	Wipeout ON	<>	<>	<>	<>
'721B5B2	Load_Currents	_Currents	R6352	A4.5			<>	<>	<>	<>	<>	<>	<>
'721B5D1	Fault_Currents	_Fault Currents	R6352	<>	<>	<>	1231	169	Wipeout ON	<>	<>	<>	<>
'721B5F4	Load_Currents	_Currents	R18041	C4.3			<>	<>	<>	<>	<>	<>	<>
'721B613	Fault_Currents	_Fault Currents	R18041	<>	<>	<>	471	140	Wipeout ON	<>	<>	<>	<>
'721B636	Load_Currents	_Currents	R9998	A24.0	B13.5	C56.6	<>	<>	<>	<>	<>	<>	<>
