HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	MAX	MIN	{DYNPARAM} Visibility1	VOLTS	DROP	DIFF	DIST
'7F5A53F	Fault_Currents	_Fault Currents	PC101199	<>	<>	<>	0	6	Wipeout ON	<>	<>	<>	<>
'7F5A5F2	Fault_Currents	_Fault Currents	PC13982	<>	<>	<>	0	15	Wipeout ON	<>	<>	<>	<>
'7F5A60B	Fault_Currents	_Fault Currents	PC51272	<>	<>	<>	0	7	Wipeout ON	<>	<>	<>	<>
'7F5A6DB	Fault_Currents	_Fault Currents	PC95896	<>	<>	<>	0	18	Wipeout ON	<>	<>	<>	<>
'7F5A6F4	Fault_Currents	_Fault Currents	PC130215	<>	<>	<>	0	8	Wipeout ON	<>	<>	<>	<>
'7F5A731	Fault_Currents	_Fault Currents	PC50061	<>	<>	<>	0	7	Wipeout ON	<>	<>	<>	<>
'7F5A74A	Fault_Currents	_Fault Currents	PC50082	<>	<>	<>	0	7	Wipeout ON	<>	<>	<>	<>
'7F5A7F3	Fault_Currents	_Fault Currents	PC841	<>	<>	<>	0	15	Wipeout ON	<>	<>	<>	<>
'7F5A80C	Fault_Currents	_Fault Currents	PC66709	<>	<>	<>	0	7	Wipeout ON	<>	<>	<>	<>
'7F5A86D	Fault_Currents	_Fault Currents	PC94217	<>	<>	<>	0	6	Wipeout ON	<>	<>	<>	<>
'7F5A886	Fault_Currents	_Fault Currents	PC138073	<>	<>	<>	0	17	Wipeout ON	<>	<>	<>	<>
'7F5A89F	Fault_Currents	_Fault Currents	PC94663	<>	<>	<>	0	15	Wipeout ON	<>	<>	<>	<>
'7F5A8B8	Fault_Currents	_Fault Currents	PC3147	<>	<>	<>	0	13	Wipeout ON	<>	<>	<>	<>
'7F5A8F5	Fault_Currents	_Fault Currents	PC14012	<>	<>	<>	0	14	Wipeout ON	<>	<>	<>	<>
'7F5A90E	Fault_Currents	_Fault Currents	PC27884	<>	<>	<>	0	12	Wipeout ON	<>	<>	<>	<>
'7F5A96F	Fault_Currents	_Fault Currents	PC29129	<>	<>	<>	0	13	Wipeout ON	<>	<>	<>	<>
'7F971B0	Fault_Currents	_Fault Currents	PC29985	<>	<>	<>	0	12	Wipeout ON	<>	<>	<>	<>
'7F971C9	Fault_Currents	_Fault Currents	PC647	<>	<>	<>	0	16	Wipeout ON	<>	<>	<>	<>
'7F971E2	Fault_Currents	_Fault Currents	PC20360	<>	<>	<>	0	5	Wipeout ON	<>	<>	<>	<>
'7F9721F	Fault_Currents	_Fault Currents	PC20694	<>	<>	<>	8	6	Wipeout ON	<>	<>	<>	<>
'7F9725C	Fault_Currents	_Fault Currents	PC94637	<>	<>	<>	-0	11	Wipeout ON	<>	<>	<>	<>
'7F97305	Fault_Currents	_Fault Currents	PC1297	<>	<>	<>	-0	6	Wipeout ON	<>	<>	<>	<>
'7F97342	Fault_Currents	_Fault Currents	PC173	<>	<>	<>	0	4	Wipeout ON	<>	<>	<>	<>
'7F9735B	Fault_Currents	_Fault Currents	PC1363	<>	<>	<>	0	12	Wipeout ON	<>	<>	<>	<>
'7F97374	Fault_Currents	_Fault Currents	PC27176	<>	<>	<>	-0	8	Wipeout ON	<>	<>	<>	<>
'7F9738D	Fault_Currents	_Fault Currents	PC93137	<>	<>	<>	0	7	Wipeout ON	<>	<>	<>	<>
'7F973A6	Fault_Currents	_Fault Currents	PC869	<>	<>	<>	0	6	Wipeout ON	<>	<>	<>	<>
'7F973BF	Fault_Currents	_Fault Currents	PC19842	<>	<>	<>	0	7	Wipeout ON	<>	<>	<>	<>
'7F973D8	Fault_Currents	_Fault Currents	PC92882	<>	<>	<>	0	12	Wipeout ON	<>	<>	<>	<>
'7F97439	Fault_Currents	_Fault Currents	PC100266	<>	<>	<>	0	16	Wipeout ON	<>	<>	<>	<>
'7F97476	Fault_Currents	_Fault Currents	PC32314	<>	<>	<>	0	6	Wipeout ON	<>	<>	<>	<>
'7F9748F	Fault_Currents	_Fault Currents	PC93071	<>	<>	<>	0	13	Wipeout ON	<>	<>	<>	<>
'7F974A8	Fault_Currents	_Fault Currents	PC166862	<>	<>	<>	0	13	Wipeout ON	<>	<>	<>	<>
'7F97509	Fault_Currents	_Fault Currents	PC35515	<>	<>	<>	0	8	Wipeout ON	<>	<>	<>	<>
'7F97546	Fault_Currents	_Fault Currents	PC177011	<>	<>	<>	0	12	Wipeout ON	<>	<>	<>	<>
'7F975AD	Fault_Currents	_Fault Currents	PC93209	<>	<>	<>	0	14	Wipeout ON	<>	<>	<>	<>
'7F975C6	Fault_Currents	_Fault Currents	PC1209	<>	<>	<>	0	17	Wipeout ON	<>	<>	<>	<>
'7F975DF	Fault_Currents	_Fault Currents	PC13552	<>	<>	<>	0	13	Wipeout ON	<>	<>	<>	<>
