HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	VOLTS	DROP	DIFF	DIST	{DYNPARAM} Visibility1	MAX	MIN
'7106C35	Fault_Currents	_Fault Currents	OCR_D18-4-29/168.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	442	141
'7106C3A	Fault_Currents	_Fault Currents	span_14921	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	342	131
'7106C3F	Fault_Currents	_Fault Currents	OCR_C56/29.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	496	152
'7106C44	Fault_Currents	_Fault Currents	span_6598	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	313	127
'7106C49	Fault_Currents	_Fault Currents	OCR_D18-4-29D/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	729	156
'7106C4E	Fault_Currents	_Fault Currents	OCR_D18-4-29/101	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	915	156
'7106C53	Fault_Currents	_Fault Currents	OCR_D18-4-29D1/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	712	155
'7106C5D	Fault_Currents	_Fault Currents	OCR_C44-1-5/17.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	633	159
'7106C62	Fault_Currents	_Fault Currents	span_4366	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	329	127
'7106C67	Fault_Currents	_Fault Currents	span_19607	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	277	120
'7106C6C	Fault_Currents	_Fault Currents	span_52178	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	395	136
'7106C71	Fault_Currents	_Fault Currents	OCR_C43/.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	631	159
'7106C76	Fault_Currents	_Fault Currents	OCR_C/390.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	619	158
'7106C7B	Fault_Currents	_Fault Currents	OCR_11D-22/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1053	165
'7106C80	Fault_Currents	_Fault Currents	OCR_11D/104.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1051	165
