HANDLE	BLOCKNAME	LAYER	DEVICE	MAX	MIN	{DYNPARAM} Visibility1	LINE1	LINE2	LINE3	VOLTS	DROP	DIFF	DIST
'70DB3E2	Fault_Currents	_Fault Currents	22-04-45	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DB45A	Load_Currents	_Currents	22-08-95	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DB474	Fault_Currents	_Fault Currents	22-08-95	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DB4B8	Load_Currents	_Currents	22-08-67	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DB50A	Fault_Currents	_Fault Currents	22-08-67	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DB5BF	Fault_Currents	_Fault Currents	22-07-75	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DB5F9	Load_Currents	_Currents	22-07-75	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DB63D	Load_Currents	_Currents	over_1261	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DB68F	Fault_Currents	_Fault Currents	over_1261	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DB6D5	Load_Currents	_Currents	23-17-76	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DB727	Fault_Currents	_Fault Currents	23-17-76	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DB76B	Load_Currents	_Currents	23-07-48	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DB7BD	Fault_Currents	_Fault Currents	23-07-48	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DB80B	Load_Currents	_Currents	23-09-27	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DB845	Load_Currents	_Currents	over_1387	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DB897	Fault_Currents	_Fault Currents	23-09-27	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DB8E9	Fault_Currents	_Fault Currents	over_1387	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DBBDF	Load_Currents	_Currents	16-31-24	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DBC19	Load_Currents	_Currents	16-31-17	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DBCBD	Fault_Currents	_Fault Currents	16-31-17	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DBD0F	Fault_Currents	_Fault Currents	16-31-24	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
